Name,Email,Age,City,Purchase_Amount
Ivy,ivy0@company.com,65,Houston,130.0
Frank,frank1@yahoo.com,61,Boston,52.6
Eve,eve2@yahoo.com,19,Los Angeles,117.13
Olivia,olivia3@email.com,53,Seattle,360.85
Quinn,quinn4@company.com,32,Austin,298.74
Noah,noah5@email.com,62,Miami,176.72
Steven,steven6@gmail.com,79,Austin,60.08
Steven,steven7@email.com,40,Phoenix,305.83
Ivy,ivy8@mail.com,52,Miami,486.83
Peter,peter9@yahoo.com,53,New York,416.41
Alice,alice10@email.com,30,Chicago,32.45
Grace,grace11@gmail.com,23,Boston,434.58
Steven,steven12@yahoo.com,47,Seattle,89.7
Henry,henry13@business.com,60,Boston,353.89
Grace,grace14@email.com,52,Los Angeles,90.07
Rachel,rachel15@gmail.com,77,New York,117.61
Eve,eve16@outlook.com,32,Miami,404.47
Bob,bob17@mail.com,22,Chicago,457.44
Bob,bob18@mail.com,31,Chicago,203.86
Tina,tina19@mail.com,34,Miami,130.85
Jack,jack20@contact.com,34,Seattle,219.93
Peter,peter21@yahoo.com,41,Austin,498.69
Diana,diana22@company.com,49,Boston,380.33
Eve,eve23@yahoo.com,58,Seattle,398.12
Eve,eve24@outlook.com,42,Los Angeles,301.99
Steven,steven25@company.com,34,Houston,431.78
Diana,diana26@outlook.com,61,Austin,377.93
Quinn,quinn27@mail.com,36,New York,87.5
Grace,grace28@company.com,80,Miami,383.36
Tina,tina29@yahoo.com,73,Los Angeles,422.42
Tina,tina30@contact.com,27,Miami,383.63
Eve,eve31@email.com,76,Los Angeles,303.48
Alice,alice32@contact.com,25,Houston,440.57
Jack,jack33@outlook.com,21,Houston,440.22
Bob,bob34@contact.com,64,Miami,409.85
Karen,karen35@yahoo.com,26,Houston,473.96
Steven,steven36@email.com,51,Boston,482.54
Eve,eve37@company.com,63,Denver,205.51
Eve,eve38@yahoo.com,75,Austin,231.23
Henry,henry39@mail.com,22,Chicago,20.31
Olivia,olivia40@contact.com,55,Los Angeles,13.52
Alice,alice41@mail.com,22,Phoenix,431.22
Frank,frank42@mail.com,33,New York,337.8
Steven,steven43@gmail.com,26,Austin,292.34
Rachel,rachel44@gmail.com,69,Houston,103.3
